roi_id,type,lat,lon,ELEV_mean_0,ELEV_stddev_0,ELEV_min_0,ELEV_max_0,LCT_mean_0,LCT_stddev_0,LCT_min_0,LCT_max_0,NDVI_mean_0,NDVI_stddev_0,NDVI_min_0,NDVI_max_0,WATERBODY_count_0,WATERBODY_mean_0,WATERBODY_stddev_0,WATERBODY_min_0,WATERBODY_max_0,CAPE0_mean_4,CAPE0_stddev_4,CAPE0_min_4,CAPE0_max_4,CAPE1_mean_4,CAPE1_stddev_4,CAPE1_min_4,CAPE1_max_4,CAPE2_mean_4,CAPE2_stddev_4,CAPE2_min_4,CAPE2_max_4,CAPE3_mean_4,CAPE3_stddev_4,CAPE3_min_4,CAPE3_max_4,HTFL_RH_mean_4,HTFL_RH_stddev_4,HTFL_RH_min_4,HTFL_RH_max_4,SMOIS0_mean_4,SMOIS0_stddev_4,SMOIS0_min_4,SMOIS0_max_4,TCUM_CLOUD_count_4,TCUM_CLOUD_mean_4,TCUM_CLOUD_stddev_4,TCUM_CLOUD_min_4,TCUM_CLOUD_max_4,TSOIL0_mean_4,TSOIL0_stddev_4,TSOIL0_min_4,TSOIL0_max_4,UGRD_mean_4,UGRD_stddev_4,UGRD_min_4,UGRD_max_4,VGRD_mean_4,VGRD_stddev_4,VGRD_min_4,VGRD_max_4,WINDCONV_mean_4,WINDCONV_stddev_4,WINDCONV_min_4,WINDCONV_max_4
ac04447e-b403-4157-ba7c-f936141c46f0,1,33.556271,-85.862977,264.080944,83.819804,152.0,701.0,6.823274,2.19986,4.0,13.0,7889.096593,986.619186,807.0,9269.0,0,0.0,0.0,0.0,0.0,2326.666667,171.787983,2140.0,2700.0,2237.777778,177.749998,2040.0,2620.0,2326.666667,171.787983,2140.0,2700.0,2088.888889,173.361821,1900.0,2460.0,72.888889,1.791613,69.0,75.0,0.19877,0.048263,0.069,0.343,17,1.0,0.0,1.0,1.0,27.500885,2.432695,25.635,37.836,1.199748,0.291336,0.588636,1.463636,-0.277598,0.102062,-0.402598,-0.027598,1.4e-05,9e-06,0.0,2.8e-05
275f0975-ddf9-48d8-ac41-1ac07dfcd247,1,32.270996,-86.6816,61.542392,21.529422,24.0,152.0,7.846847,1.983891,0.0,13.0,7860.767989,736.015546,-244.0,9739.0,1,1.0,0.0,1.0,1.0,2957.777778,163.420234,2680.0,3220.0,2904.444444,162.146101,2620.0,3160.0,2957.777778,163.420234,2680.0,3220.0,2675.555556,168.068181,2380.0,2940.0,54.888889,0.566558,54.0,56.0,0.174507,0.062054,0.074,0.319,2,1.0,0.0,1.0,1.0,31.898442,0.64273,30.339,33.898,0.644192,0.157135,0.463636,0.838636,0.041846,0.25077,-0.402598,0.472402,-2.5e-05,8e-06,-4.2e-05,-1.8e-05
34b4b3f9-f592-472b-8af5-96af33612e9f,1,31.098751,-87.474173,82.922904,14.540039,29.0,116.0,7.725865,2.874687,1.0,13.0,7823.685257,810.697806,1405.0,9256.0,0,0.0,0.0,0.0,0.0,3195.555556,87.82699,3060.0,3340.0,3124.444444,76.465113,2980.0,3220.0,3195.555556,87.82699,3060.0,3340.0,3073.333333,67.330033,2940.0,3180.0,55.444444,0.496904,55.0,56.0,0.191428,0.029116,0.11,0.271,20,1.0,0.0,1.0,1.0,29.63542,0.92684,27.8,31.531,0.755303,0.228218,0.338636,0.963636,0.555735,0.204124,0.347402,0.972402,-2.3e-05,9e-06,-3.2e-05,-5e-06
84b27ad5-c606-44e8-9864-1b6ca6a2d761,1,31.203651,-90.159895,110.508723,18.695831,57.0,155.0,7.661383,1.884613,1.0,12.0,8577.474534,378.413592,2450.0,9402.0,0,0.0,0.0,0.0,0.0,3377.777778,52.868343,3300.0,3460.0,3055.555556,57.176357,2960.0,3140.0,3377.777778,52.868343,3300.0,3460.0,2733.333333,135.973854,2480.0,2900.0,69.333333,2.94392,63.0,73.0,0.230014,0.029195,0.157,0.297,89,1.0,0.0,1.0,1.0,30.255571,0.579982,28.624,31.517,2.560859,0.19345,2.213636,2.838636,-0.610932,0.242956,-0.902598,-0.152598,-5e-06,1e-05,-1.8e-05,1.4e-05
8b15cd22-7f81-45e1-9acf-2d36d911af0c,1,30.404599,-88.22287,14.530928,14.071085,1.0,54.0,4.213026,4.569478,0.0,16.0,2601.702626,5173.546239,-3000.0,9206.0,1275,1.0,0.0,1.0,1.0,3437.777778,224.982853,3120.0,3720.0,3222.222222,160.123409,3020.0,3460.0,3475.555556,201.500544,3120.0,3720.0,2973.333333,282.055944,2480.0,3340.0,57.0,3.59011,52.0,63.0,0.226116,0.029882,0.174,0.309,0,0.0,0.0,0.0,0.0,29.769628,1.219823,28.412,36.86,1.074748,0.708197,-0.036364,1.838636,0.722402,1.11648,-0.527598,2.722402,9e-06,2.5e-05,-2.3e-05,5.1e-05
736f0851-9907-4e28-bc7e-bb15392a74b9,1,31.333742,-87.316943,98.349438,20.48563,39.0,144.0,7.25803,2.460112,1.0,13.0,8022.549868,714.36701,2409.0,9076.0,0,0.0,0.0,0.0,0.0,2880.0,172.562388,2620.0,3100.0,2802.222222,169.821984,2540.0,3040.0,2880.0,172.562388,2620.0,3100.0,2753.333333,182.574186,2460.0,3020.0,56.222222,1.030402,55.0,58.0,0.182855,0.043403,0.093,0.271,2,1.0,0.0,1.0,1.0,30.441254,0.57736,29.261,31.658,0.394192,0.157135,0.213636,0.713636,0.514068,0.195434,0.222402,0.847402,-1e-06,1.9e-05,-2.8e-05,2.8e-05
aea61f19-b9ac-4dd1-8d1a-0d90b07efb19,1,33.282487,-85.30709,272.252537,44.52031,183.0,418.0,7.183261,1.528576,2.0,12.0,7924.642575,836.175228,2110.0,9824.0,0,0.0,0.0,0.0,0.0,2160.0,164.384373,1960.0,2480.0,2048.888889,139.876489,1880.0,2320.0,2160.0,164.384373,1960.0,2480.0,1864.444444,124.285613,1700.0,2100.0,71.222222,0.628539,70.0,72.0,0.176662,0.042452,0.06,0.271,12,1.0,0.0,1.0,1.0,28.165728,0.933146,26.358,30.915,1.102525,0.30302,0.463636,1.463636,-0.083154,0.264254,-0.402598,0.347402,6e-06,1.3e-05,-1.4e-05,2.8e-05
48f484fa-3ced-4842-aafe-444439c78b03,1,34.203015,-86.684073,251.720878,41.718538,147.0,335.0,9.140173,2.540539,4.0,13.0,7689.344601,762.926909,2006.0,9164.0,0,0.0,0.0,0.0,0.0,2182.222222,69.566559,2060.0,2280.0,2120.0,92.376043,1980.0,2240.0,2182.222222,69.566559,2060.0,2280.0,2048.888889,114.352714,1880.0,2200.0,77.888889,1.36987,76.0,80.0,0.121161,0.042664,0.071,0.272,0,0.0,0.0,0.0,0.0,27.40081,1.844162,25.738,37.703,0.866414,0.141639,0.588636,1.088636,0.264068,0.176777,-0.027598,0.472402,-3e-06,1e-05,-1.8e-05,1.4e-05
c6993a90-1b6f-44e8-8f3d-ba27eecce29d,1,30.572401,-86.661936,39.504592,16.359647,1.0,77.0,7.409599,2.778618,0.0,16.0,6459.583154,1498.394952,-3000.0,9117.0,25,1.0,0.0,1.0,1.0,3726.666667,61.101009,3600.0,3820.0,3428.888889,70.623327,3280.0,3520.0,3726.666667,61.101009,3600.0,3820.0,3148.888889,137.311037,2980.0,3360.0,48.222222,3.224137,44.0,55.0,0.188856,0.0442,0.106,0.303,55,1.0,0.0,1.0,1.0,30.688662,1.981386,28.311,37.846,0.852525,0.498067,0.213636,1.463636,-0.235932,0.282597,-0.652598,0.347402,2.3e-05,4.2e-05,-2.3e-05,9.7e-05
337d53cd-7219-47c2-ac14-56c4db8cb604,1,33.916528,-85.83369,209.492394,52.393074,140.0,506.0,7.614193,2.075641,1.0,13.0,7770.759418,743.636819,-425.0,9144.0,0,0.0,0.0,0.0,0.0,2993.333333,203.5245,2580.0,3300.0,2886.666667,209.973543,2460.0,3200.0,2993.333333,203.5245,2580.0,3300.0,2557.777778,174.723768,2220.0,2760.0,77.555556,1.257079,76.0,80.0,0.200562,0.051454,0.078,0.304,2,1.0,0.0,1.0,1.0,26.644672,2.078124,24.948,38.008,0.435859,0.342467,0.088636,1.088636,0.041846,0.333912,-0.527598,0.472402,-4e-06,1.4e-05,-2.3e-05,1.8e-05
